time,UHBOX
0,0.023430484954374733
3600,0.41565777357872075
7200,0.3839340217281539
10800,0.12269203901764328
14400,0.037360920722894965
18000,0.011361030535475932
21600,0.0034546255118127417
25200,0.0010504702303218206
28800,0.0003194232390916026
32400,9.712907861484787e-05
36000,2.953466359920778e-05
39600,8.980795106445338e-06
43200,2.730848126068205e-06
46800,8.303865525556932e-07
50400,2.525009794880512e-07
54000,7.67795967386514e-08
57600,2.3346865771777766e-08
61200,7.099231625568201e-09
64800,2.1587090175672065e-09
68400,6.564125342442256e-10
72000,1.9959958086361777e-10
75600,6.069352823495718e-11
79200,1.8455471467771063e-11
82800,5.611873901598896e-12
86400,1.7064385888186967e-12
